area,nodes,flows,sent_packet,dropped_packet,received_packet,throughput,delay,delievery_ratio,drop_ratio
250,40,20,18609,5775,12886,432637,1.33339,0.692461,0.310334
500,40,20,18637,11448,8375,281052,0.884674,0.449375,0.614262
750,40,20,19137,15947,4123,138407,0.430663,0.215447,0.833307
1000,40,20,19015,16064,3206,107571,0.0885233,0.168604,0.844807
1250,40,20,19225,17125,2066,69355.9,0.00767261,0.107464,0.890767
500,20,20,19005,11605,7551,253388,0.818544,0.397316,0.610629
500,40,20,18637,11448,8375,281052,0.884674,0.449375,0.614262
500,60,20,18662,9730,9556,320697,1.54921,0.512057,0.52138
500,80,20,19065,8318,11045,370756,1.08409,0.579334,0.436297
500,100,20,19767,9375,11202,375854,1.82748,0.566702,0.474275
500,40,10,9519,4660,5025,168702,0.166952,0.527892,0.489547
500,40,20,18637,11448,8375,281052,0.884674,0.449375,0.614262
500,40,30,28937,23067,8386,281383,0.889404,0.289802,0.797146
500,40,40,37682,31239,10392,348651,1.32947,0.275782,0.829017
500,40,50,47927,42123,10091,338530,1.67709,0.210549,0.878899
